sample_id,group,imzml_path,bf_jpg_path,nd2_path,notes
AO_0h_sl6A_sec1a,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_0h_sl6a_sec1a.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_0h_sl6A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_0h_sl6A.nd2,incubated in CMC >=5 min; section 1a (2700 px); SCiLS re-export
AO_0h_sl6A_sec1b,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_0h_sl6a_sec1b.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_0h_sl6A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_0h_sl6A.nd2,incubated in CMC >=5 min; section 1b (760 px); SCiLS re-export
AO_0h_sl6A_sec2a,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_0h_sl6a_sec2a.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_0h_sl6A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_0h_sl6A.nd2,incubated in CMC >=5 min; section 2a (4987 px); SCiLS re-export (was TIMSCONVERT-broken)
AO_0h_sl6A_sec3a,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_0h_sl6a_sec3a.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_0h_sl6A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_0h_sl6A.nd2,incubated in CMC >=5 min; section 3a (3762 px); SCiLS re-export (was TIMSCONVERT-broken)
AO_0h_sl6A_sec3b,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_0h_sl6a_sec3b.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_0h_sl6A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_0h_sl6A.nd2,incubated in CMC >=5 min; section 3b (2464 px); SCiLS re-export (was TIMSCONVERT-broken)
AO_0h_sl6A_sec4a,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_0h_sl6a_sec4a.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_0h_sl6A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_0h_sl6A.nd2,incubated in CMC >=5 min; section 4a (3503 px); SCiLS re-export (was TIMSCONVERT-broken)
AO_0h_sl6A_sec4b,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_0h_sl6a_sec4b.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_0h_sl6A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_0h_sl6A.nd2,incubated in CMC >=5 min; section 4b (5671 px); SCiLS re-export
AO_0h_sl6A_sec5a,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_0h_sl6a_sec5a.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_0h_sl6A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_0h_sl6A.nd2,incubated in CMC >=5 min; section 5a (6518 px); SCiLS re-export (was TIMSCONVERT-broken)
AO_0h_sl6A_sec5b,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_0h_sl6a_sec5b.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_0h_sl6A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_0h_sl6A.nd2,incubated in CMC >=5 min; section 5b (8720 px); SCiLS re-export (was TIMSCONVERT-broken)
AO_0h_sl6A_sec6a,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_0h_sl6a_sec6a.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_0h_sl6A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_0h_sl6A.nd2,incubated in CMC >=5 min; section 6a (7854 px); SCiLS re-export (was TIMSCONVERT-broken)
AO_20h_sl4A_sec1a,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_20h_sl4a_1a.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_20h_sl4A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_20h_sl4A.nd2,incubated in CMC >=5 min; section 1a (8730 px); SCiLS re-export (was TIMSCONVERT-broken)
AO_20h_sl4A_sec1b,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_20h_sl4a_1b.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_20h_sl4A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_20h_sl4A.nd2,incubated in CMC >=5 min; section 1b (1483 px); SCiLS re-export (was TIMSCONVERT-broken)
AO_20h_sl4A_sec2a,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_20h_sl4a_2a.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_20h_sl4A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_20h_sl4A.nd2,incubated in CMC >=5 min; section 2a (2205 px); SCiLS re-export (was TIMSCONVERT-broken)
AO_20h_sl4A_sec2b,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_20h_sl4a_2b.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_20h_sl4A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_20h_sl4A.nd2,incubated in CMC >=5 min; section 2b (7584 px); SCiLS re-export (was TIMSCONVERT-broken)
AO_20h_sl4A_sec3a,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_20h_sl4a_3a.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_20h_sl4A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_20h_sl4A.nd2,incubated in CMC >=5 min; section 3a (7938 px); SCiLS re-export (was TIMSCONVERT-broken)
AO_20h_sl4A_sec3b,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_20h_sl4a_3b.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_20h_sl4A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_20h_sl4A.nd2,incubated in CMC >=5 min; section 3b (5054 px); SCiLS re-export
AO_20h_sl4A_sec4a,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_20h_sl4a_4a.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_20h_sl4A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_20h_sl4A.nd2,incubated in CMC >=5 min; section 4a (2856 px); SCiLS re-export (was TIMSCONVERT-broken)
AO_20h_sl4A_sec4b,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_20h_sl4a_4b.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_20h_sl4A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_20h_sl4A.nd2,incubated in CMC >=5 min; section 4b (1722 px); SCiLS re-export (was TIMSCONVERT-broken)
AO_20h_sl4A_sec5a,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_20h_sl4a_5a.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_20h_sl4A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_20h_sl4A.nd2,incubated in CMC >=5 min; section 5a (1435 px); SCiLS re-export
AO_20h_sl4A_sec5b,incubated_5min,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/Analysis_R/cache/imzml/06102026_ao_20h_sl4a_5b.imzML,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/MSI/06102026_AO_20h_sl4A_small.jpg,D:/A_Stanford/HelicobacterMSI/01062026_JoyMetabolGrad/06102026_AO_20h_sl4A.nd2,incubated in CMC >=5 min; section 5b (4814 px); SCiLS re-export (was TIMSCONVERT-broken)
