page	type	rt	x_left	y_bot_pdfcoord	x_right	y_top_pdfcoord	contents
2	/Text		381.245	314.755	405.245	338.755	in
2	/Popup		1008.0	246.755	1192.0	338.755	
2	/Text		504.723	470.477	528.723	494.477	mixed
2	/Popup		1008.0	402.477	1192.0	494.477	
3	/Text		495.563	345.167	519.563	369.167	out
3	/Popup		1007.98	258.147	1192.13	368.984	
4	/Text		306.132	228.65	330.132	252.65	out
4	/Popup		1008.0	160.65	1192.0	252.65	
4	/Text		641.393	304.496	665.393	328.496	in
4	/Popup		1008.0	236.496	1192.0	328.496	
4	/Text		745.085	379.975	769.085	403.975	in
4	/Popup		1008.0	311.975	1192.0	403.975	
4	/Text		463.686	470.844	487.686	494.844	out
4	/Popup		1007.98	383.824	1192.13	494.661	
4	/Text		487.136	387.303	511.136	411.303	out
4	/Popup		1007.98	300.284	1192.13	411.12	
4	/Text		533.303	404.891	557.303	428.891	out
4	/Popup		1007.98	317.871	1192.13	428.708	
4	/Text		660.446	395.731	684.446	419.731	mixed
4	/Popup		1007.98	308.711	1192.13	419.548	
4	/Text		794.917	391.7	818.917	415.7	out
4	/Popup		1007.98	304.681	1192.13	415.517	
5	/Text		508.021	354.693	532.021	378.693	in
5	/Popup		1007.98	267.674	1192.13	378.51	
5	/Text		502.525	188.712	526.525	212.712	out
5	/Popup		1007.98	101.692	1192.13	212.529	
5	/Text		699.651	392.433	723.651	416.433	out
5	/Popup		1007.98	305.413	1192.13	416.25	
5	/Text		236.515	378.51	260.515	402.51	mixed
5	/Popup		1007.98	291.49	1192.13	402.327	
6	/Text		526.708	262.359	550.708	286.359	in
6	/Popup		1007.98	175.339	1192.13	286.176	
6	/Text		641.759	405.99	665.759	429.99	in
6	/Popup		1007.98	318.97	1192.13	429.807	
7	/Text		538.799	451.424	562.799	475.424	in
7	/Popup		1007.98	364.405	1192.13	475.241	
7	/Text		419.351	202.635	443.351	226.635	mixed
7	/Popup		1007.98	115.615	1192.13	226.452	
7	/Text		421.549	363.121	445.549	387.121	mixed
7	/Popup		1007.98	276.101	1192.13	386.937	
8	/Text		540.998	529.469	564.998	553.469	out
8	/Popup		1007.98	442.449	1192.13	553.286	
8	/Text		594.859	393.166	618.859	417.166	mixed
8	/Popup		1007.98	306.146	1192.13	416.983	
8	/Text		414.588	354.327	438.588	378.327	mixed
8	/Popup		1007.98	267.307	1192.13	378.144	
8	/Text		642.125	198.238	666.125	222.238	in
8	/Popup		1007.98	111.219	1192.13	222.055	
8	/Text		537.7	249.901	561.7	273.901	mixed
8	/Popup		1007.98	162.882	1192.13	273.718	
8	/Text		401.031	203.368	425.031	227.368	mixed
8	/Popup		1007.98	116.348	1192.13	227.185	
8	/Text		413.122	531.301	437.122	555.301	in
8	/Popup		1007.98	444.281	1192.13	555.118	
9	/Text		257.766	370.815	281.766	394.815	out
9	/Popup		1007.98	283.795	1192.13	394.632	
9	/Text		316.025	425.41	340.025	449.41	out
9	/Popup		1007.98	338.39	1192.13	449.226	
9	/Text		551.623	413.318	575.623	437.318	mixed
9	/Popup		1007.98	326.298	1192.13	437.135	
9	/Text		426.679	365.319	450.679	389.319	out
9	/Popup		1007.98	278.299	1192.13	389.136	
9	/Text		837.42	270.42	861.42	294.42	in
9	/Popup		1007.98	183.4	1192.13	294.237	
9	/Text		485.67	169.292	509.67	193.292	out
9	/Popup		1007.98	82.2725	1192.13	193.109	
10	/Text		587.898	466.081	611.898	490.081	mixed
10	/Popup		1007.98	379.061	1192.13	489.897	
10	/Text		524.876	480.004	548.876	504.004	out
10	/Popup		1007.98	392.984	1192.13	503.821	
10	/Text		382.344	174.422	406.344	198.422	out
10	/Popup		1007.98	87.4022	1192.13	198.239	
10	/Text		472.846	190.544	496.846	214.544	out
10	/Popup		1007.98	103.524	1192.13	214.361	
10	/Text		509.487	252.1	533.487	276.1	out
10	/Popup		1007.98	165.08	1192.13	275.917	
10	/Text		591.562	281.779	615.562	305.779	mixed
10	/Popup		1007.98	194.759	1192.13	305.595	
11	/Text		675.835	213.261	699.835	237.261	mixed
11	/Popup		1007.98	126.241	1192.13	237.078	
11	/Text		381.245	471.21	405.245	495.21	mixed
11	/Popup		1007.98	384.19	1192.13	495.027	
11	/Text		458.19	392.799	482.19	416.799	out
11	/Popup		1007.98	305.78	1192.13	416.616	
11	/Text		393.703	297.168	417.703	321.168	in
11	/Popup		1007.98	210.148	1192.13	320.985	
11	/Text		665.942	427.974	689.942	451.974	out
11	/Popup		1007.98	340.955	1192.13	451.791	
12	/Text		664.11	195.307	688.11	219.307	in
12	/Popup		1007.98	108.287	1192.13	219.124	
12	/Text		438.771	188.712	462.771	212.712	in
12	/Popup		1007.98	101.692	1192.13	212.529	
12	/Text		504.723	212.894	528.723	236.894	out
12	/Popup		1007.98	125.875	1192.13	236.711	
12	/Text		468.816	284.344	492.816	308.344	out
12	/Popup		1007.98	197.324	1192.13	308.16	
12	/Text		374.283	257.596	398.283	281.596	out
12	/Popup		1007.98	170.576	1192.13	281.413	
12	/Text		340.207	304.496	364.207	328.496	out
12	/Popup		1007.98	217.476	1192.13	328.313	
12	/Text		569.211	410.021	593.211	434.021	out
12	/Popup		1007.98	323.001	1192.13	433.837	
12	/Text		344.971	414.051	368.971	438.051	in
12	/Popup		1007.98	327.031	1192.13	437.868	
12	/Text		400.664	435.303	424.664	459.303	out
12	/Popup		1007.98	348.283	1192.13	459.119	
12	/Text		514.616	438.967	538.616	462.967	mixed
12	/Popup		1007.98	351.947	1192.13	462.783	
12	/Text		667.041	280.313	691.041	304.313	in
12	/Popup		1007.98	193.293	1192.13	304.13	
13	/Text		494.464	295.336	518.464	319.336	in
13	/Popup		1007.98	208.316	1192.13	319.152	
14	/Text		563.715	373.38	587.715	397.38	mixed
14	/Popup		1007.98	286.36	1192.13	397.197	
14	/Text		670.339	481.836	694.339	505.836	out
14	/Popup		1007.98	394.816	1192.13	505.653	
14	/Text		435.839	234.512	459.839	258.512	
14	/Popup		1007.98	135.711	1192.13	258.329	
14	/Text		435.839	234.512	459.839	258.512	out
14	/Popup		1008.0	166.512	1192.0	258.512	
14	/Text		402.496	372.647	426.496	396.647	mixed
14	/Popup		1007.98	285.628	1192.13	396.464	
15	/Text		517.914	521.041	541.914	545.041	out
15	/Popup		1007.98	434.022	1192.13	544.858	
15	/Text		398.832	227.917	422.832	251.917	out
15	/Popup		1007.98	140.897	1192.13	251.734	
15	/Text		632.233	303.763	656.233	327.763	out
15	/Popup		1007.98	216.743	1192.13	327.58	
15	/Text		590.096	451.058	614.096	475.058	out
15	/Popup		1007.98	364.038	1192.13	474.875	
15	/Text		513.517	545.224	537.517	569.224	out
15	/Popup		1007.98	458.204	1192.13	569.041	
15	/Text		320.422	437.501	344.422	461.501	in
15	/Popup		1007.98	350.481	1192.13	461.318	
15	/Text		708.078	192.009	732.078	216.009	mixed
15	/Popup		1007.98	104.99	1192.13	215.826	
16	/Text		321.887	547.789	345.887	571.789	out
16	/Popup		1007.98	460.769	1192.13	571.606	
16	/Text		358.528	393.166	382.528	417.166	in
16	/Popup		1007.98	306.146	1192.13	416.983	
16	/Text		554.555	238.909	578.555	262.909	mixed
16	/Popup		1007.98	151.89	1192.13	262.726	
16	/Text		582.401	127.156	606.401	151.156	out
16	/Popup		1007.98	40.1359	1192.13	150.972	
16	/Text		558.585	362.021	582.585	386.021	mixed
16	/Popup		1007.98	275.002	1192.13	385.838	
16	/Text		418.985	318.786	442.985	342.786	mixed
16	/Popup		1007.98	231.766	1192.13	342.602	
16	/Text		484.205	414.784	508.205	438.784	out
16	/Popup		1007.98	327.764	1192.13	438.601	
16	/Text		394.435	498.324	418.435	522.324	out
16	/Popup		1007.98	411.305	1192.13	522.141	
17	/Text		393.336	182.483	417.336	206.483	in
17	/Popup		1007.98	95.4631	1192.13	206.3	
17	/Text		392.237	269.321	416.237	293.321	mixed
17	/Popup		1007.98	182.301	1192.13	293.138	
17	/Text		557.486	280.679	581.486	304.679	out
17	/Popup		1007.98	193.66	1192.13	304.496	
17	/Text		573.974	223.52	597.974	247.52	out
17	/Popup		1007.98	136.501	1192.13	247.337	
17	/Text		614.645	356.892	638.645	380.892	out
17	/Popup		1007.98	269.872	1192.13	380.709	
17	/Text		444.633	387.67	468.633	411.67	mixed
17	/Popup		1007.98	300.65	1192.13	411.487	
18	/Text		605.851	432.738	629.851	456.738	in
18	/Popup		1007.98	345.718	1192.13	456.555	
18	/Text		373.55	260.161	397.55	284.161	in
18	/Popup		1007.98	173.141	1192.13	283.978	
19	/Text		496.296	374.113	520.296	398.113	in
19	/Popup		1007.98	287.093	1192.13	397.93	
20	/Text		433.274	306.328	457.274	330.328	in
20	/Popup		1007.98	219.308	1192.13	330.145	
21	/Text		403.596	447.394	427.596	471.394	mixed
21	/Popup		1007.98	360.374	1192.13	471.211	
21	/Text		505.456	446.295	529.456	470.295	out
21	/Popup		1007.98	359.275	1192.13	470.112	
21	/Text		354.131	266.756	378.131	290.756	out
21	/Popup		1007.98	179.736	1192.13	290.573	
21	/Text		341.673	190.91	365.673	214.91	out
21	/Popup		1007.98	103.89	1192.13	214.727	
21	/Text		572.875	329.045	596.875	353.045	
21	/Popup		1007.98	245.516	1192.13	352.862	
21	/Text		572.875	329.045	596.875	353.045	mixed
21	/Popup		1008.0	261.045	1192.0	353.045	
