page	subtype	color	x_center	y_center_from_top	x0	y0	x1	y1	path	contents
14	/Ink	0.024,0.541,0.11	451.38	354.76	335.49	233.03	490.69	476.47	490.69,233.03;489.93,236.83;488.40,245.96;487.64,247.49;486.12,251.29;484.60,252.81;484.60,254.33;484.60,255.85;483.84,257.37;483.84,258.13;483.08,260.42;482.32,260.42;482.32,261.94;482.32,262.70;481.56,264.22;480.04,269.55;480.04,271.83;479.28,272.59;478.51,275.63;477.75,277.92;476.99,279.44;476.99,280.20;476.99,282.48;476.99,283.24;476.23,284.76;476.23,285.52;475.47,287.81;475.47,289.33;475.47,290.09;474.71,290.85;474.71,293.13;473.95,294.65;473.95,295.41;473.95,296.93;473.95,300.74;473.95,301.50;473.95,302.26;473.95,304.54;473.19,306.82;473.19,309.11;473.19,310.63;473.19,311.39;473.19,312.91;473.19,313.67;473.19,315.19;473.19,315.95;473.19,316.71;473.19,318.24;473.19,319.00;473.19,319.76;473.19,320.52;472.43,322.04;472.43,322.80;472.43,323.56;472.43,324.32;471.67,324.32;471.67,325.08;471.67,327.36;470.91,328.12;470.91,328.88;470.15,331.17;470.15,331.93;470.15,332.69;468.62,336.49;468.62,337.25;468.62,338.01;467.10,339.54;467.10,341.82;466.34,343.34;465.58,344.86;464.82,344.86;464.82,346.38;464.82,347.14;464.06,347.90;463.30,348.67;463.30,349.43;461.78,350.19;461.78,350.95;461.02,351.71;461.02,352.47;461.02,353.23;460.26,353.23;460.26,353.99;459.50,354.75;458.74,356.27;458.74,357.03;458.74,357.79;457.98,358.56;457.21,359.32;456.45,360.84;456.45,361.60;455.69,361.60;454.93,363.12;453.41,365.40;453.41,366.16;452.65,367.68;451.89,367.68;451.89,369.20;451.13,369.97;451.13,370.73;450.37,371.49;450.37,372.25;450.37,373.01;449.61,373.77;449.61,374.53;449.61,375.29;448.85,376.05;448.85,376.81;448.85,377.57;448.85,378.33;448.85,379.10;448.85,381.38;448.85,383.66;448.85,384.42;448.85,385.18;448.85,385.94;448.85,386.70;448.85,387.46;448.85,388.22;448.85,388.99;448.85,389.75;448.85,391.27;448.85,392.03;448.85,393.55;448.85,394.31;448.85,395.07;448.08,395.83;448.08,398.11;448.08,399.64;447.32,400.40;447.32,401.16;446.56,402.68;445.80,403.44;445.80,404.20;445.04,404.96;443.52,405.72;442.76,406.48;442.00,407.24;442.00,408.00;438.19,411.05;437.43,411.81;436.67,411.81;435.15,412.57;433.63,414.09;432.11,414.85;430.59,415.61;428.31,417.13;426.02,417.89;420.70,420.18;419.94,420.94;418.42,421.70;413.85,423.98;412.33,426.26;405.48,430.07;395.59,435.39;394.07,436.91;383.42,442.24;381.14,443.76;377.33,446.80;374.29,448.32;370.49,452.13;368.97,453.65;364.40,458.98;356.79,462.78;353.75,466.58;345.38,471.15;343.10,472.67;338.54,475.71;336.25,476.47;335.49,476.47	stroke4/4 
14	/Popup		1100.0	365.52						
15	/Text	0.588,0.263,0.988	311.62	245.46						mixed
15	/Popup		1100.0	279.46						
15	/Text	0.588,0.263,0.988	744.19	517.24						out
15	/Popup		1100.0	551.24						
15	/Text	0.588,0.263,0.988	631.78	407.67						out
15	/Popup		1100.0	441.67						
15	/Text	0.588,0.263,0.988	537.87	181.42						out
15	/Popup		1100.0	215.42						
15	/Text	0.588,0.263,0.988	445.38	413.36						mixed
15	/Popup		1100.0	447.36						
15	/Text	0.588,0.263,0.988	418.34	491.62						out
15	/Popup		896.67	534.48						
15	/Text	0.588,0.263,0.988	312.33	436.13						out
15	/Popup		1100.0	470.13						
15	/Text	0.588,0.263,0.988	359.29	152.25						mixed
15	/Popup		896.67	195.11						
15	/Text	0.588,0.263,0.988	578.42	259.69						out
15	/Popup		896.67	302.54						
15	/Ink	0.024,0.541,0.11	294.08	307.55	247.25	263.98	336.25	350.71	336.25,350.71;335.49,349.95;333.21,348.43;332.45,345.38;330.93,344.62;329.41,343.86;328.65,342.34;327.12,340.06;326.36,339.30;324.84,337.77;323.32,337.01;322.56,336.25;321.80,335.49;321.04,333.21;319.52,332.45;318.76,332.45;318.00,330.93;317.24,330.93;317.24,330.17;315.71,327.88;315.71,327.12;314.19,326.36;312.67,324.84;311.91,324.08;311.91,323.32;311.15,321.80;310.39,321.80;309.63,320.28;308.11,319.52;307.35,318.76;307.35,318.00;306.58,316.47;305.82,316.47;305.06,315.71;305.06,314.95;305.06,314.19;303.54,313.43;302.02,311.91;300.50,311.15;300.50,310.39;300.50,309.63;298.98,309.63;298.98,308.87;298.22,308.11;297.45,308.11;296.69,308.11;296.69,307.35;295.93,307.35;295.93,306.58;295.17,306.58;294.41,305.82;293.65,305.06;292.89,305.06;292.89,304.30;292.13,303.54;289.85,302.78;288.33,302.02;286.81,301.26;286.81,299.74;285.28,298.98;284.52,298.98;283.76,298.22;283.76,297.45;282.24,296.69;280.72,295.17;279.20,294.41;276.92,292.13;276.15,292.13;276.15,291.37;273.11,289.85;270.83,287.56;270.07,286.04;267.02,284.52;265.50,282.24;264.74,281.48;261.70,278.44;260.18,276.92;259.42,276.92;257.90,275.39;256.37,274.63;255.61,273.87;253.33,271.59;253.33,270.83;250.29,269.31;250.29,267.79;249.53,267.02;248.77,266.26;248.77,264.74;248.01,264.74;247.25,263.98	stroke1/1 
15	/Popup		1100.0	396.71						
16	/Text	0.588,0.263,0.988	402.69	201.35						out
16	/Popup		896.67	244.2						
16	/Text	0.588,0.263,0.988	581.27	521.5						out
16	/Popup		896.67	564.36						
16	/Text	0.588,0.263,0.988	577.71	340.79						in
16	/Popup		896.67	383.64						
16	/Text	0.588,0.263,0.988	338.66	168.62						out
16	/Popup		896.67	218.0						
16	/Ink	0.024,0.541,0.11	381.61	271.87	304.3	248.25	445.04	295.41	445.04,295.41;444.28,295.41;440.48,293.89;438.96,293.89;435.15,292.37;432.11,291.61;430.59,290.85;429.07,290.09;428.31,290.09;427.54,288.56;424.50,287.81;423.74,287.04;422.98,287.04;419.94,286.28;419.18,285.52;416.13,284.76;414.61,284.00;413.09,282.48;412.33,282.48;411.57,281.72;410.05,280.96;409.29,280.96;407.76,280.20;407.00,280.20;406.24,279.44;404.72,278.68;403.96,277.92;402.44,277.92;401.68,277.92;401.68,276.39;400.16,275.63;399.40,274.87;398.64,274.87;397.88,274.87;395.59,274.11;395.59,273.35;394.83,273.35;394.07,273.35;391.79,273.35;391.03,272.59;388.75,271.83;387.99,271.07;385.70,270.31;384.18,269.55;383.42,269.55;381.14,269.55;379.62,269.55;378.86,269.55;378.10,269.55;374.29,269.55;373.53,269.55;371.25,268.79;370.49,268.79;368.97,268.79;365.92,267.26;365.92,266.50;365.16,266.50;364.40,266.50;362.12,264.98;358.32,263.46;356.03,263.46;353.75,262.70;352.23,261.94;349.19,261.18;345.38,259.66;343.86,259.66;339.30,258.13;334.73,257.37;333.21,257.37;328.65,255.85;327.88,255.85;323.32,253.57;318.76,251.29;318.00,251.29;313.43,249.01;308.87,248.25;308.11,248.25;307.35,248.25;306.58,248.25;305.82,248.25;304.30,248.25	stroke1/3 
16	/Ink	0.024,0.541,0.11	583.87	550.62	524.16	532.01	667.94	597.43	524.16,597.43;525.68,595.91;526.44,595.15;527.20,592.87;531.77,589.06;532.53,587.54;536.33,582.98;540.14,579.17;540.90,576.89;542.42,573.85;543.94,573.09;544.70,570.81;545.46,568.52;546.22,568.52;546.98,567.76;547.74,567.00;548.50,564.72;549.26,563.96;550.03,563.20;550.79,563.20;550.79,562.44;551.55,562.44;552.31,561.68;552.31,560.92;553.07,559.39;553.83,559.39;553.83,558.63;554.59,558.63;554.59,557.87;556.11,557.87;556.11,557.11;556.87,557.11;557.63,556.35;557.63,555.59;559.15,555.59;560.68,554.07;560.68,553.31;562.20,552.55;562.96,552.55;563.72,552.55;563.72,551.79;564.48,551.79;566.00,551.03;567.52,551.03;568.28,550.26;569.04,549.50;569.80,548.74;570.57,547.98;572.09,547.22;574.37,546.46;575.13,546.46;576.65,544.94;577.41,544.18;578.17,544.18;580.46,544.18;581.22,542.66;581.98,542.66;582.74,541.90;584.26,541.90;585.78,541.14;586.54,541.14;587.30,540.38;588.06,540.38;589.59,540.38;590.35,540.38;594.15,539.62;595.67,538.85;597.95,538.09;598.71,538.09;601.76,536.57;605.56,535.81;607.84,535.81;611.65,535.05;613.93,535.05;617.73,534.29;620.78,534.29;621.54,534.29;623.06,534.29;623.82,534.29;628.38,533.53;629.14,533.53;634.47,533.53;636.75,532.77;640.56,532.77;644.36,532.01;646.64,532.01;651.21,532.01;655.01,532.01;657.29,532.01;660.34,532.01;661.10,532.01;661.86,532.01;663.38,532.01;665.66,532.77;666.42,532.77;667.18,532.77;667.94,532.77	stroke2/3 
16	/Ink	0.024,0.541,0.11	469.96	242.89	454.93	200.32	493.73	288.56	454.93,288.56;454.93,287.04;454.93,285.52;455.69,283.24;455.69,282.48;456.45,279.44;457.21,277.15;457.98,274.11;457.98,273.35;457.98,268.79;458.74,264.98;458.74,263.46;460.26,259.66;460.26,257.37;461.02,255.09;461.78,254.33;461.78,253.57;461.78,252.05;461.78,251.29;461.78,250.53;463.30,249.01;464.06,248.25;464.06,246.72;464.82,245.96;466.34,244.44;467.86,242.16;468.62,240.64;470.91,236.07;473.95,232.27;473.95,230.75;474.71,229.23;476.23,225.42;476.99,224.66;480.04,220.10;480.80,218.58;482.32,214.77;483.08,214.77;484.60,212.49;486.12,211.73;488.40,208.69;489.93,207.16;492.21,202.60;492.97,201.84;492.97,201.08;493.73,201.08;493.73,200.32	stroke3/3 
16	/Popup		1100.0	340.41						
17	/Text	0.588,0.263,0.988	408.38	496.6						mixed
17	/Popup		1100.0	530.6						
17	/Text	0.588,0.263,0.988	470.28	325.85						mixed
17	/Popup		1100.0	359.85						
17	/Text	0.588,0.263,0.988	624.67	335.1						in
17	/Popup		1100.0	369.1						
17	/Ink	0.024,0.541,0.11	404.32	490.95	346.9	470.15	447.32	508.94	447.32,508.94;446.56,508.94;445.80,508.18;445.04,508.18;442.00,507.42;441.24,506.66;440.48,506.66;439.72,506.66;438.96,506.66;438.19,505.90;437.43,505.90;435.91,505.14;435.15,505.14;434.39,505.14;433.63,505.14;432.11,503.62;430.59,503.62;429.83,502.86;429.07,502.86;428.31,502.10;427.54,502.10;426.02,501.34;425.26,501.34;425.26,500.58;424.50,500.58;422.98,499.82;422.22,498.29;421.46,498.29;420.70,498.29;419.94,498.29;419.94,497.53;419.18,497.53;418.42,497.53;417.65,496.77;416.89,496.01;416.13,496.01;415.37,496.01;413.85,494.49;413.09,494.49;412.33,493.73;411.57,493.73;410.05,491.45;409.29,491.45;407.76,491.45;407.00,490.69;405.48,489.93;404.72,489.93;403.96,489.93;402.44,489.93;402.44,489.16;401.68,489.16;401.68,488.40;400.92,488.40;400.16,488.40;400.16,487.64;399.40,487.64;399.40,486.88;397.88,486.12;396.35,486.12;395.59,485.36;394.83,485.36;393.31,484.60;392.55,483.84;391.03,483.84;390.27,483.84;388.75,483.08;387.99,482.32;387.22,482.32;386.46,482.32;384.18,480.04;383.42,480.04;381.14,479.28;379.62,479.28;376.57,478.51;375.81,478.51;373.53,477.75;370.49,476.99;369.73,476.99;366.68,476.23;365.16,474.71;364.40,474.71;359.84,473.95;359.08,473.19;357.56,472.43;354.51,471.67;352.23,471.67;350.71,470.91;348.43,470.15;347.67,470.15;346.90,470.15	stroke1/3 
17	/Ink	0.024,0.541,0.11	544.08	389.4	505.14	359.84	591.87	435.15	505.14,435.15;505.14,434.39;505.90,432.87;505.90,431.35;506.66,430.59;508.18,427.54;508.94,425.26;510.47,423.74;511.99,420.70;512.75,416.89;513.51,416.13;514.27,413.85;515.03,411.57;515.03,410.81;515.79,410.05;517.31,407.76;518.07,407.00;518.07,405.48;520.36,403.96;520.36,403.20;521.12,402.44;521.12,401.68;522.64,401.68;523.40,401.68;524.92,399.40;525.68,399.40;526.44,398.64;527.20,397.88;529.49,397.11;531.01,395.59;531.77,394.83;534.05,394.07;534.81,393.31;535.57,393.31;535.57,392.55;537.09,391.03;537.85,391.03;538.62,391.03;539.38,390.27;540.14,390.27;540.90,390.27;540.90,389.51;541.66,389.51;543.18,387.99;545.46,386.46;545.46,385.70;546.22,385.70;546.98,384.94;548.50,382.66;549.26,382.66;549.26,381.90;550.79,381.14;551.55,380.38;553.07,378.86;553.83,378.86;556.11,376.57;557.63,375.81;558.39,375.05;559.15,374.29;562.96,371.25;564.48,370.49;565.24,369.73;568.28,368.97;569.04,368.20;570.57,366.68;572.09,365.92;574.37,364.40;575.13,364.40;575.89,364.40;577.41,364.40;580.46,363.64;581.22,363.64;582.74,362.88;582.74,362.12;585.02,362.12;585.78,362.12;587.30,361.36;588.06,361.36;588.82,359.84;589.59,359.84;590.35,359.84;591.87,359.84	stroke2/3 
17	/Ink	0.024,0.541,0.11	583.38	452.62	531.01	435.15	667.18	477.75	531.01,477.75;531.77,476.99;532.53,475.47;533.29,475.47;533.29,474.71;533.29,473.95;534.81,472.43;537.85,470.15;538.62,469.39;540.90,466.34;543.18,466.34;543.94,465.58;544.70,464.82;545.46,464.06;546.22,464.06;549.26,463.30;550.03,462.54;550.79,462.54;551.55,461.78;553.83,461.78;553.83,460.26;554.59,460.26;555.35,460.26;555.35,459.50;557.63,459.50;558.39,458.74;559.15,458.74;559.92,458.74;559.92,457.98;560.68,457.98;561.44,457.98;562.20,457.98;562.96,457.21;563.72,456.45;564.48,456.45;565.24,456.45;567.52,454.93;569.04,454.17;569.80,454.17;569.80,453.41;571.33,453.41;572.09,453.41;574.37,452.65;576.65,451.89;577.41,451.89;578.17,451.13;578.93,451.13;579.70,451.13;580.46,451.13;580.46,450.37;582.74,450.37;582.74,449.61;584.26,449.61;585.02,448.85;586.54,448.08;586.54,447.32;588.06,447.32;589.59,447.32;590.35,446.56;591.11,446.56;591.87,446.56;593.39,445.80;594.91,445.80;596.43,445.04;597.95,445.04;602.52,442.76;603.28,442.76;604.04,442.00;608.60,442.00;612.41,441.24;614.69,441.24;620.01,440.48;621.54,440.48;626.10,439.72;629.90,438.96;632.19,438.96;637.51,438.19;645.12,437.43;648.16,437.43;654.25,435.91;655.77,435.91;661.10,435.91;663.38,435.15;664.14,435.15;664.90,435.15;665.66,435.15;666.42,435.15;667.18,435.15	stroke3/3 
17	/Popup		1100.0	554.94						
18	/Text	0.588,0.263,0.988	394.86	462.45						in
18	/Popup		896.67	505.31						
18	/Text	0.588,0.263,0.988	617.55	254.7						in
18	/Popup		896.67	297.56						
19	/Text	0.588,0.263,0.988	521.5	342.21						in
19	/Popup		1100.0	376.21						
20	/Text	0.588,0.263,0.988	500.16	350.75						in
20	/Popup		1100.0	384.75						
21	/Text	0.588,0.263,0.988	418.34	251.15						mixed
21	/Popup		1100.0	285.15						
21	/Text	0.588,0.263,0.988	569.17	392.02						in
21	/Popup		1100.0	426.02						
21	/Text	0.588,0.263,0.988	356.44	438.98						
21	/Popup		896.67	487.26						
21	/Text	0.588,0.263,0.988	356.44	438.98						out
21	/Popup		1100.0	472.98						
21	/Ink	0.024,0.541,0.11	389.31	517.07	383.42	471.91	402.44	561.68	384.18,561.68;384.18,560.92;384.18,558.63;384.18,557.11;383.42,553.31;383.42,552.55;383.42,547.98;383.42,547.22;383.42,546.46;383.42,545.70;383.42,544.18;383.42,543.42;383.42,541.90;383.42,541.14;383.42,540.38;383.42,539.62;383.42,538.09;383.42,537.33;383.42,536.57;383.42,535.81;383.42,535.05;383.42,534.29;384.18,532.01;384.18,531.25;384.18,530.49;384.94,528.96;384.94,526.68;384.94,525.92;384.94,525.16;385.70,522.88;386.46,521.36;386.46,520.60;387.22,519.07;387.22,516.03;387.22,515.27;387.22,514.51;387.22,513.75;387.99,512.99;387.99,512.23;388.75,512.23;389.51,509.18;390.27,508.42;390.27,507.66;391.03,506.90;391.03,506.14;391.79,503.10;391.79,502.34;393.31,497.77;394.07,496.25;394.83,493.97;395.59,491.69;395.59,490.93;396.35,490.16;397.88,485.60;399.40,481.80;399.40,481.04;400.16,477.99;400.16,477.23;400.92,476.47;400.92,475.71;401.68,475.71;401.68,474.95;402.44,473.43;402.44,472.67;402.44,471.91	stroke1/4 
21	/Ink	0.024,0.541,0.11	347.82	470.37	289.09	458.98	398.64	484.84	398.64,458.98;397.88,458.98;394.83,458.98;392.55,458.98;388.75,458.98;386.46,458.98;385.70,458.98;384.94,459.74;384.18,459.74;383.42,460.50;382.66,460.50;380.38,460.50;380.38,461.26;379.62,461.26;378.10,461.26;375.81,461.26;374.29,462.02;373.53,462.02;372.01,462.78;369.73,463.54;368.97,464.30;367.44,465.06;366.68,465.06;365.92,465.06;363.64,465.82;362.88,466.58;361.36,466.58;359.08,467.34;358.32,468.10;357.56,468.10;355.27,469.62;355.27,470.39;352.23,471.15;350.71,471.91;349.95,471.91;349.19,472.67;346.90,472.67;346.14,472.67;343.86,473.43;343.10,473.43;339.30,473.43;337.01,474.95;334.73,474.95;332.45,475.71;331.69,475.71;327.12,477.23;322.56,477.23;321.04,477.23;318.00,477.99;314.95,477.99;314.19,478.75;311.91,478.75;309.63,479.51;308.11,480.28;304.30,481.04;302.78,481.80;302.02,481.80;296.69,483.32;293.65,484.08;291.37,484.08;290.61,484.08;289.85,484.08;289.09,484.08;289.09,484.84	stroke2/4 
21	/Ink	0.024,0.541,0.11	481.15	267.2	480.04	204.88	483.08	312.15	480.80,312.15;481.56,310.63;481.56,309.87;482.32,309.11;482.32,306.06;482.32,305.30;482.32,303.02;482.32,300.74;482.32,299.98;482.32,298.45;482.32,296.93;482.32,296.17;482.32,294.65;482.32,293.89;482.32,293.13;482.32,292.37;482.32,291.61;482.32,290.85;481.56,290.85;481.56,289.33;481.56,288.56;481.56,287.81;481.56,287.04;480.80,287.04;480.80,286.28;480.80,285.52;480.80,284.76;480.80,283.24;480.04,281.72;480.04,280.96;480.04,280.20;480.04,279.44;480.04,277.92;480.04,277.15;480.04,276.39;480.04,275.63;480.04,274.87;480.04,273.35;480.04,271.83;480.04,269.55;480.04,268.79;480.04,268.02;480.04,267.26;480.04,266.50;480.04,265.74;480.04,264.98;480.04,264.22;480.04,263.46;480.04,262.70;480.04,261.94;480.04,261.18;480.04,260.42;480.04,259.66;480.04,258.90;480.04,258.13;480.04,257.37;480.04,256.61;480.04,255.09;480.04,252.81;480.04,252.05;480.04,251.29;480.80,249.77;480.80,246.72;480.80,242.92;480.80,242.16;481.56,236.83;481.56,236.07;482.32,233.03;482.32,232.27;482.32,229.23;482.32,228.47;482.32,226.18;482.32,223.90;482.32,223.14;482.32,215.53;483.08,210.21;483.08,209.45;483.08,207.16;483.08,206.40;483.08,204.88	stroke3/4 
21	/Ink	0.024,0.541,0.11	424.1	308.61	350.71	299.98	475.47	324.32	475.47,324.32;475.47,323.56;474.71,323.56;473.95,322.80;472.43,321.28;470.91,321.28;470.15,321.28;469.39,320.52;468.62,319.76;467.86,318.24;467.10,318.24;464.82,317.47;464.06,316.71;463.30,315.95;462.54,315.95;461.78,315.19;461.02,315.19;460.26,315.19;459.50,315.19;458.74,315.19;457.98,315.19;457.21,315.19;456.45,315.19;455.69,315.19;455.69,314.43;454.93,314.43;454.17,314.43;454.17,312.91;453.41,312.91;452.65,312.91;452.65,312.15;451.89,312.15;451.89,311.39;451.13,311.39;450.37,311.39;449.61,311.39;448.85,310.63;448.08,309.87;447.32,309.87;446.56,309.87;445.80,309.87;445.04,309.87;444.28,309.87;442.76,309.11;442.00,309.11;442.00,307.58;441.24,307.58;440.48,307.58;439.72,306.82;438.96,306.82;438.96,306.06;438.19,306.06;436.67,306.06;436.67,305.30;435.91,305.30;435.15,304.54;435.15,303.78;434.39,303.78;433.63,303.78;433.63,302.26;432.87,302.26;432.87,301.50;431.35,301.50;430.59,301.50;429.83,300.74;429.07,300.74;428.31,300.74;427.54,300.74;426.02,300.74;425.26,300.74;424.50,300.74;423.74,300.74;422.98,300.74;422.22,300.74;421.46,300.74;420.70,300.74;419.94,300.74;419.18,300.74;418.42,299.98;417.65,299.98;416.13,299.98;414.61,299.98;413.85,299.98;413.09,299.98;411.57,299.98;410.81,299.98;409.29,299.98;408.52,299.98;407.76,299.98;407.00,299.98;406.24,299.98;403.96,299.98;402.44,299.98;401.68,299.98;400.92,299.98;400.16,299.98;397.88,299.98;397.11,299.98;396.35,299.98;395.59,299.98;394.83,299.98;394.83,300.74;391.79,301.50;391.03,303.02;390.27,303.02;387.22,303.78;385.70,304.54;383.42,306.06;382.66,306.06;379.62,306.82;378.86,307.58;376.57,309.87;372.77,311.39;369.73,312.15;367.44,312.91;362.88,315.95;360.60,316.71;356.79,318.24;356.03,319.00;352.99,319.76;352.23,319.76;352.23,321.28;351.47,321.28;350.71,321.28;350.71,322.04;350.71,322.80	stroke4/4 
21	/Popup		1100.0	606.68						
